,media name,media,post,link
10,BuzzFeed News,BuzzFeedNews,“It’s still seen as something that’s a big deal when we just want a new pair of leggings.”,https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.buzzfeednews.com%2Farticle%2Frichardnieva%2Ffacebook-and-google-ceos-signed-off-on-a-secret-advertising%3Fd_id%3D3050894%26ref%3Dbffbbuzzfeednews%26utm_source%3Ddynamic%26utm_campaign%3Dbffbbuzzfeednews%26fbclid%3DIwAR2H0WGlQUEPV_RU2pMimPJKDYWtZMS2mXkE_9gc4MANzaGDw-zw9oXIeYA&h=AT2JEtWfr6L0jfr4VaPBvRFfMKvoVSDYtnB_RRLU5ZHXFB-nSx9XtiVtwozW5WkR8-xNUy9oIAiW9TfC_gcYJ8fhNtISVTK8XD6kP_NPVo5SpezsSbC2UUTBQeI7I28uFAMsRpn2vbm7C42qIgTb&__tn__=%2CmH-R&c[0]=AT2muFfw8vkLOGzR21OcuqEuf5OESjY6vprRJt5maWAj8VEBoIeDWoXS0y5LKqVlKkwNRvGqhzBJp4iR3-NjUnoPKYzsx9Agov5LMxHamd5it7Zecf1tkTV9V9kNRRUNnBAN5xSUCUEcGv84S7W0KYYhioBhMf0ZmhlLhF1XhnXWwhg
11,BuzzFeed News,BuzzFeedNews,Newly unredacted claims from a 2020 antitrust lawsuit say that Mark Zuckerberg and Sundar Pichai personally approved an allegedly illegal 2018 advertising deal.,https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.buzzfeednews.com%2Farticle%2Fstephaniesoteriou%2Fjennifer-aniston-response-frizzy-hair-friends%3Fd_id%3D3049686%26ref%3Dbffbbuzzfeednews%26utm_source%3Ddynamic%26utm_campaign%3Dbffbbuzzfeednews%26fbclid%3DIwAR2okpB9fhWWEWUbV9n3T2HFDyHLMGQkljeuwaOAfZtY5PSXTupYgaspcXI&h=AT1ZdjJFvD2JIIyQPgdJdqSAaFTFd52Qf7R1Ad5EARK6DtouMmv_QMLeTO81VSMS3VYTR1o85RIqIVZt4ewCTZyW4Tyt0RIdnxGIYDpq7O_AsO2TVrcngXK2aPYA3AiU5wXYy6_rdf81B2JjIWgA&__tn__=%2CmH-R&c[0]=AT0bYdX1KqVoDx9IyIUnr5dQkgYTPseXu9A5pR1TeABnwHEYIZ46bkjmeT8F2Vk-2Hq7Qy__BiZRrxoYwqpNu12VoaBwAjdDlnJzknsOAiNoFIa4aQG0C9wpFzF7whEABmpD7gxFqrVoeJ98F1-p9M9AEDW_lNXkRXt7wCpRCoMS_q4
12,BuzzFeed News,BuzzFeedNews,IT’S THE HUMIDITY!,https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.buzzfeednews.com%2Farticle%2Fellendurney%2Fkim-kardashian-and-pete-davidson-pizza-date-after-kanye-west%3Fd_id%3D3049577%26ref%3Dbffbbuzzfeednews%26utm_source%3Ddynamic%26utm_campaign%3Dbffbbuzzfeednews%26fbclid%3DIwAR0GNCQbsKutnJ4nnkEiiVrC7_Qe1Pipnqd7xySLEPlDgAsqYpOLBf3vAY0&h=AT0uBypwinhmmya74oc5ORnvj2UJKc96onvKDf8DKfHt6Q7vqDB9P6cj2jvzVxu6apuXr7NKogTzOs6HA1pZaVoe4kClQDWwatwKC06LRfKuiCbket_WcZwt8VLVMk_TXGlhhI5sK49ifkp2JCi1&__tn__=%2CmH-R&c[0]=AT1ErSsHJ_J2n0iYm70gf1w0p5vfM2m0QwURnHgSfweVqBRLbBrJq2zy2lfUKm4ep-vQoqPQ5XTK-FBLsJXpHBkr5P1YabF8FVZOe6Aqo4SKZWX0Nek1TJqJzpVELraG23KYqqvzRawMn2w1nmiKhv9e7qdpgSE0wjCTAeNovjXTEC8
13,BuzzFeed News,BuzzFeedNews,"Kim appears to be swapping extravagance for ease, and this is why it makes total sense.",https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.buzzfeednews.com%2Farticle%2Fstephaniemcneal%2Fmagnolia-home-work-show-renovation-disaster%3Fd_id%3D3049427%26ref%3Dbffbbuzzfeednews%26utm_source%3Ddynamic%26utm_campaign%3Dbffbbuzzfeednews%26fbclid%3DIwAR1TaFqF0sPIRQBaDgmhL8l4yzOHCSEP_89W8akiQtZSns6wnlcGBaVzWEU&h=AT3Rc5jfjHwxgb1D-a5K93ZXdtb90c8ftQR6n8oAugpg45gsH9VJduHPHdd653Rwyv_g_7s6wmQgp6SJzktEWf9XDeCHVZTsAV2133w83dRViiJLbBucrWg092LvXBxBV5mUdAjiS02iKpqI7kLJ&__tn__=%2CmH-R&c[0]=AT0pu32ylmyEjKXndrteuv1wctABdrp8k2zJCuuuoCEierbKl0kesmjJhxrmzUBbWJcAaUeBzOi_F-0Jf3LE580BmVYnNSX2LgZZ15vlGV5SiSlRSLiz0MWkTxriGRYqNL6AlOo7HuqOm-EwNKwyM1liezYOJGFcWycqebzALws2YDM
14,BuzzFeed News,BuzzFeedNews,"Several homeowners are accusing husband-and-wife home renovation duo Candis and Andy Meredith of promising renovations that ended poorly. The Merediths deny the claims and after an internal investigation, Magnolia Network says they “do not believe there was ill or malicious intent.”",https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.buzzfeednews.com%2Farticle%2Fchristopherm51%2Frussia-troops-ukraine-border-fears-invasion%3Fd_id%3D3049403%26ref%3Dbffbbuzzfeednews%26utm_source%3Ddynamic%26utm_campaign%3Dbffbbuzzfeednews%26fbclid%3DIwAR3Wn079ie2_RaXE52IOVxnPBUeBjplekJ3JTlLcGPKFzTHEzIzVX0i1gR0&h=AT1x5jkpNqNtamUjRzKW4M1ePH-FNtym8dnlxlOBxGhfWpbzk3Bh4HE-usUZVWlzpnDDpmAZf1u-1wc_ppxFJ8zBFs00UmT0bu9QiQu20klJucrwkv7FX3hE7gAs2hdXEPn7prHDsiW5D74Cqyjn&__tn__=%2CmH-R&c[0]=AT0RWMlkDYcFrxKMdBgREIsAonpw7CRK0KcZdoovzL4l_hQad6wWfWgHI-LtW57YDu2psiS2BKRIxeEjaJ0-JS8b16PWcMiOZLzk7GGSW6GVa68SDdImPVDmnNuQS-4b9llDTi-VHG1D_HlKBKBCW_tjXcRom2Xg7DuyjtveiGFquYk
15,BuzzFeed News,BuzzFeedNews,This aerospace engineering student says he used old documents and historical imagery to find an airplane crash ,https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.buzzfeednews.com%2Farticle%2Fleylamohammed%2Fjamie-lynn-spears-hit-back-britney-spears-gma-interview%3Fd_id%3D3049380%26ref%3Dbffbbuzzfeednews%26utm_source%3Ddynamic%26utm_campaign%3Dbffbbuzzfeednews%26fbclid%3DIwAR2cXFRzSpNB6pftFHJWggrAYD9S9bx9bUYMRsDE0ytyk0IXY6CR7WLINS0&h=AT2Yot-2x2KpuyKcGnQxEn9ke-Sd8K260klSdeCYwaC0kth60AJAiRuwuGgvudJvXS5b_4LvfDSpT4dLAPthAdRCv7rkb2Kzsvv-6FE4I93YUWJBu0PvqIqKfIZRCFNqtQZwWcuovftnL7xnKas4&__tn__=%2CmH-R&c[0]=AT1R-aaOIxxFRORK1Q_TKh0rXbh6kqJWJIb32QibNFCn3nK21ils_pVD0tU5nojxkSdHHHCbEdmbiY2CsHx0ISsz7q4oAnxL5usV5MgQpHgS3XRbZ3pbsWMPtQPhj7faPsYPgicYSE-ubfZ_Tq74yiWfMHqWSFDP0NvgnyxRzj1iRkc
16,BuzzFeed News,BuzzFeedNews,"""As part of its plans, Russia is laying the groundwork to have the option of fabricating a pretext for invasion, including through sabotage activities and information operations.""",https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.buzzfeednews.com%2Farticle%2Fpaulmcleod%2F2022-elections-house-elections-overturn%3Fd_id%3D3049278%26ref%3Dbffbbuzzfeednews%26utm_source%3Ddynamic%26utm_campaign%3Dbffbbuzzfeednews%26fbclid%3DIwAR3vBueI7mCFoT8hJxJ2UG33kmrldwbL860-hxbMPlhhtr276x2VmI80Jbg&h=AT3W4fb3-kq9H8ksgGlMjsTTHEEvWxR6ebP7FcXfnZ7OiEUlpD0c2w4JTxkJh4N6lcyYdqPhsbxBaL3Hbu4g8OoxxgbALbzdomOH-5ZYNj5gCDNPO5XyycYoAs81gIxOHrWEPWLZWk163RXo3bBK&__tn__=%2CmH-R&c[0]=AT13tCkph8QR3FEe-uD4YtdUhwGkIeFKFbJGo--P5WnmYqV5KbLcgmptHUPWGPIPU_RIFaPXh8xbobQDkzxDJn5Fdv-sC1qBeqoGj4nJnTcODFA2BEDvJTQEQYMGkqcNpwYDsAeFml-F2M6VZ_rhC1mN5xRKi0V1noAMNrb7nrG5DLk
17,BuzzFeed News,BuzzFeedNews,"“I hate to burst my sister’s bubble, but my book is not about her. I can’t help that I was born a Spears too... I’ve built my career in spite of just being someone’s little sister.”",https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.buzzfeednews.com%2Farticle%2Fstephaniesoteriou%2Fjake-gyllenhaal-acknowledged-taylor-swift-all-too-well%3Fd_id%3D3047215%26ref%3Dbffbbuzzfeednews%26utm_source%3Ddynamic%26utm_campaign%3Dbffbbuzzfeednews%26fbclid%3DIwAR2SCbatPyHkpyG_GSF5ooJ-FJQNpXaPvxgC_tTpvikA_w6yRvA39dI-XTk&h=AT0CVu0OmZfMp6QWvzkCNJFCHQYJ-yDvutR4eEMt0E1fWTH7JwH_E0aPcn-bR0o3LrI9KYthDdmugCfmMI6Ly3KjGDwfw3qL6McgUW2Vse31us_k7380p9cDT3j6JGVP5GuiAqw24ut4VAhDyZlZ&__tn__=%2CmH-R&c[0]=AT1xS_VHeCC-o_958IVLyhoXIk2wAh7nfAONQjCFaMNxCXEY7JjE_BfiqXXlPqD4bNhRe2kaj0cSI6NET3wfkekrDlTrueT_htxzPBGKcXCukLnqrTX0XCKs2e1vkbQpQYZmoexacZ37yKxJrqWuOyifwYZDN0fngl5R_j1Iwiv6xKY
18,BuzzFeed News,BuzzFeedNews,House and Senate races can be overturned by a majority vote.,https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.buzzfeednews.com%2Farticle%2Fstefficao%2Fnorth-star-boys-tiktok-stop-asian-hate%3Fd_id%3D3048937%26ref%3Dbffbbuzzfeednews%26utm_source%3Ddynamic%26utm_campaign%3Dbffbbuzzfeednews%26fbclid%3DIwAR2Xm1Boc032Xqis8QfcwwLD7mhPkQC9iZg1Hl1w4xs2n_kHs0rrApE9jn4&h=AT0nhPdIHJvrj_fpp_4EKnFCgEzaykUo61Oclrg7Zgz7FZOF6w9EJMoZRfT4NiJyb9MC5jBMLhWF-ux3iyXMby2S01roFJg4fmBuqSnNb7z1idO__MZAYc1ttewB23s_Flo22lmedB3km1J3t3vZ&__tn__=%2CmH-R&c[0]=AT0_iZ6vrqTlu_g8gS0o1jghI-ox9E-vCE8JY63Tc2OPpZ6dRSahFQ5k6tNNCYO0qV_C4YFd-4Op1GChRtXC5qfghcNmK_ASpy9A3HVyr_6HQgzLGCugtjMNbLoP-KF2912S95UGDmx2CKvGH4C29dnfFlDDgv-a4-AxdoF67qmHuTE
19,BuzzFeed News,BuzzFeedNews,"The ""All Too Well"" drama was reignited when new photos of Jake Gyllenhaal seemingly acknowledged the song for the first time.",https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.buzzfeednews.com%2Farticle%2Fstephaniesoteriou%2Fkhloe-kardashian-photoshop-fail-instagram%3Fd_id%3D3049051%26ref%3Dbffbbuzzfeednews%26utm_source%3Ddynamic%26utm_campaign%3Dbffbbuzzfeednews%26fbclid%3DIwAR2F7AZ7FBdmZ7QpDw8HqoA6d5-umXRrxoBjPp82KdtxqLbijxG5LZ9eIoQ&h=AT1CQmy3CH-MPDymHILi92hFDgvN4fMkI1WVZkLa06fbVB-0zwZxBscAxgPWLGETeNAGI0c2U73AH2D2mNU0Rf_br4Dh3Sbm6-izIrFXcLHKkbw9GrVn9_eFcteQ_DwRFm9FYbKEoGCNOiBBwZbQ&__tn__=%2CmH-R&c[0]=AT1b9TdJT4QivW9zJKrah4Tmd-ztwyFyvOer-hfrDIuKc0ml35Qbtf74-lqlZs8ol_B_tmavsMJmwY9d1fh5wusDK2NpPF5h3oQfGLXPIH7GAotfWiRKjHWK7nUtuZ_LF_XCiOtuG7qrIMeLto-sJkj7UYwZ7lWEVU1MQXUyMYXRaHo
