,media name,media,post,link,time
10,BuzzFeed News,BuzzFeedNews,"Actor and comedian Tiffany Haddish was arrested in Georgia on suspicion of driving under the influence, police said.",https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.buzzfeednews.com%2Farticle%2Fnicolefallert%2Fchronic-illness-immunocompromised-omicron-fears%3Fd_id%3D3052023%26ref%3Dbffbbuzzfeednews%26utm_source%3Ddynamic%26utm_campaign%3Dbffbbuzzfeednews%26fbclid%3DIwAR1HAn1IN8NtwjyIrAOYJJ-LIHl04tWENJuC1Zz8usnv3Wu7YqyCBOD6Q3M&h=AT3wBWH_Javm7-p7iRyH7mCwlAQQVGBo4eig1WoeEjdZ8gyV7CcObgBkOH4U6PhCWAr5Aw7OZgE3ecl2lzIZt88OVHKOjMcbc0auYnx3J-qWIiUw-BiyfOCSY0aVA_SA1MHnHJpwsSEmyVxF0vaU&__tn__=%2CmH-R&c[0]=AT1wnMXQMCxfGrZ5NcGxlMZVi7pxEiJJLY9U1cF1NS1puFl5vKdKnvV870Anstx8YT1HLb4V5sXm96gy-qfY6w6WtYevUYkte4IAILgfl4TyfBF0MWUcsmxKVSgP9R7MRiDbO09FwJ7EbX5tr-QwyXfNaT309zexwpYTvYlQtgp8nFM,
11,BuzzFeed News,BuzzFeedNews,“There’s no such thing as too cautious at this point if we want to protect chronically ill or disabled people.”,https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.buzzfeednews.com%2Farticle%2Fmallorypickett%2F500-million-rapid-covid-tests-biden%3Fd_id%3D3051288%26ref%3Dbffbbuzzfeednews%26utm_source%3Ddynamic%26utm_campaign%3Dbffbbuzzfeednews%26fbclid%3DIwAR2-qpLfHUF4n9u9kDxnu0qQE8LWBt99hSPxNZ0VPdTt2UyC4oGzx3D3WxM&h=AT2Nsd9khRTxxnZxUmhZwGmtaylZ_vvjWq2QxiYXRz6RD2lwPBYAvoO_7UR1hzFhJEeM-YwRX-EMTqDpgDiPkf0Y3uf1V_QFV5wKQ1qVp9r43eEn1Py52K8wjUKrzW4GJxcc_FtM1ilgQ7WW9q9a&__tn__=%2CmH-R&c[0]=AT0sSmwMR9WsbxK4PqkP3uZ-uz9XAES3pkUgUFJq81ogywfCk8aNabh6-QyakEABTKst7TNJvYLgXD10OT1gHG-T0rYhFCn068uG83Q2EynGn9kCwziuQbooevD_qTqh8ejAOMwfMo2N7iuxZLSFI873CFeEWKt5_XEhgQZNtSCqkRg,
12,BuzzFeed News,BuzzFeedNews,"The announcement is part of a plan to expand access to rapid testing, but most tests won’t be available for at least two weeks.",https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.buzzfeednews.com%2Farticle%2Fadeonibada%2Ffat-athleisure-fashion-twitter%3Fd_id%3D3051191%26ref%3Dbffbbuzzfeednews%26utm_source%3Ddynamic%26utm_campaign%3Dbffbbuzzfeednews%26fbclid%3DIwAR3mSXWwiNI9M3AOWGMwG8mn4e90kOlOLObGRmvrx6EHVeeZeMj40ddKAfs&h=AT088YwAdw3DdfBL4eh70JC0INTzIcL_PzVBdVA0lAwCn3C-wsY40oOsV-B-ezCteL-NxBVaj5wzlHW8BPFL0_TsCv_2-f6BkwnnceCmLb7RMT0Yj1CNVXd1BuOx7zYdojZiGtQr6EdIlC6q2wQ8&__tn__=%2CmH-R&c[0]=AT3R6T4zGvxM5aoEM35RPs3l-nJ7gj5Ab_W0XDqw6gjskfVGCbnJ9TIFCN_GyfqRLrb_EdaZdhSUIQyIJ1b51Y6olV7iYnmYhKgMKFwXi8IgmxbIPuIpL-crI4zlfWBKBqFzQF7oNfFrSJWy2LX31wjpOzVGoNwdCeIE5waBwYanfU0,
13,BuzzFeed News,BuzzFeedNews,“It’s still seen as something that’s a big deal when we just want a new pair of leggings.”,https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.buzzfeednews.com%2Farticle%2Frichardnieva%2Ffacebook-and-google-ceos-signed-off-on-a-secret-advertising%3Fd_id%3D3050894%26ref%3Dbffbbuzzfeednews%26utm_source%3Ddynamic%26utm_campaign%3Dbffbbuzzfeednews%26fbclid%3DIwAR29iS3DdqXcX4YRMq2AeeekFi4ujnB1sQUnoj5TtZE7iHY1CRXFhRYCK2E&h=AT2foj6J3XSWmr8yG7vCG1BgUtRxhq9nVh9KNhE7dM_7vLw_c0U7M2i7aW-XxD5RUku9LSykmqj-ereprSck48ej_Q0_HA_4vrahxqz-C7pmxdnhIdPy8MdslcoLjkvx2udPY2sBByvgRESkJou5&__tn__=%2CmH-R&c[0]=AT3tWatyxmDUjlER6DVLJw5o8vXak1gJnnKLnle9tUOSfbD7mS7JuXchA52pFOscqyYEwukb2wr8E0p_CDgOnGk1PUIjv06oNqRknMUyUG2OREjQgNaS354LI51J8z8aUgd3WQnRpYMQB6u5UT7XwLAUR0pcrEi6E9UCCu0X5pFjKFk,
14,BuzzFeed News,BuzzFeedNews,Newly unredacted claims from a 2020 antitrust lawsuit say that Mark Zuckerberg and Sundar Pichai personally approved an allegedly illegal 2018 advertising deal.,https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.buzzfeednews.com%2Farticle%2Fstephaniesoteriou%2Fjennifer-aniston-response-frizzy-hair-friends%3Fd_id%3D3049686%26ref%3Dbffbbuzzfeednews%26utm_source%3Ddynamic%26utm_campaign%3Dbffbbuzzfeednews%26fbclid%3DIwAR0yzY5LGKP0yTxSIPbjwzb598HdOPLijKkcFDsHl_2ofEW5joZqTdBptLU&h=AT2PFwoaB7IxsahIhWadgr77vyMhI8tjYrh3dFPmREtxGAQ3SU-mClYDIk54ie1KF_AudBSk-emy_vG3fVEWVtXc5eTpW8302ohZQuwdKF5EW_6H_E7zKtlQeNIPg32dAECL_5_Mc517iYkBoNAQ&__tn__=%2CmH-R&c[0]=AT0ZqZqQ22c-kMc66JSHhiwco4t7ctTE0sO7LF3xpH6YKdE8OCdQhW5ff2kgbuUajh0JNFyKHAmhXKpPbeprAU-BlYMeuJhrqxMMONepHOSN3JaGWbCtnIcW2Bn82wQv3pxQPBePPUDi1u1PGiDVtb62RuXVxhEDp4q87MR_eKi__Lw,
15,BuzzFeed News,BuzzFeedNews,IT’S THE HUMIDITY!,https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.buzzfeednews.com%2Farticle%2Fellendurney%2Fkim-kardashian-and-pete-davidson-pizza-date-after-kanye-west%3Fd_id%3D3049577%26ref%3Dbffbbuzzfeednews%26utm_source%3Ddynamic%26utm_campaign%3Dbffbbuzzfeednews%26fbclid%3DIwAR1Kx11WIM_hxwts7ujcgkY-HqjawUTGfNxNpCICqSJ3TRGhX_pJfo2Psfg&h=AT33AG7kjaDiLsERJCM4qBPhX3Bddvb5WN-G4n5O5Y-A6dmwAGlWX4NtyBKizcZ1pbXbDOa6gFfh03iRSc89A-Uv-3or1tiDbFT4HfTapEDWHH2qJcZ6Ykk2rdWnaFy2RkQ_QOD4QNABjBd7iCG6&__tn__=%2CmH-R&c[0]=AT1we8-mCtio7aWXF0IBwe7Gf5eSybnVpTeNevg7C9_Nti1SPKdXhIe_FNrBK6ERfo3QyoQMU3iattk_z92CoU-ujwkgWG4u0RV1uO9cGMI7kF92SDhPOw5l3W9QHI6Zg3dfJgx7g4HEjjLsSyDgX1VED3vXILFUyLf8t77Jfuz79Tg,
16,BuzzFeed News,BuzzFeedNews,"Kim appears to be swapping extravagance for ease, and this is why it makes total sense.",https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.buzzfeednews.com%2Farticle%2Fstephaniemcneal%2Fmagnolia-home-work-show-renovation-disaster%3Fd_id%3D3049427%26ref%3Dbffbbuzzfeednews%26utm_source%3Ddynamic%26utm_campaign%3Dbffbbuzzfeednews%26fbclid%3DIwAR0MJ4IGgWldEZR-3ciVEUy2rxIRAOoqpZxEPQ7bBJKX0Ay_0OoPTqZ_-PY&h=AT1iFNUmNP5YcqOx4DmvtesLYuq1OZMZa4X6TLu9gshhNNuPTSeAastQRYbN08FxkHBEkbatr4bongchk0MbS4cr3VmwyW-Hut0UenFEokjJZXpySXliJcaMKqCdj7v3Drpx0ngiyH8s3dtCHBJp&__tn__=%2CmH-R&c[0]=AT3-BNxVaLIO3Xx546360SPf5bRsaFDSytdj_LBzpPz7yQ7fDZv7LYxAIsGODfLEO7WzpgFNS4U4x90wH6Ta6vU3vGpKod2JqixJARZPKsTFsMa6qSI8cjJsMuThUTexlVFL295SxUWvlGB23CrPtgY-Y7updxMyuBSVbsSnUuwcOxE,
17,BuzzFeed News,BuzzFeedNews,"Several homeowners are accusing husband-and-wife home renovation duo Candis and Andy Meredith of promising renovations that ended poorly. The Merediths deny the claims and after an internal investigation, Magnolia Network says they “do not believe there was ill or malicious intent.”",https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.buzzfeednews.com%2Farticle%2Fchristopherm51%2Frussia-troops-ukraine-border-fears-invasion%3Fd_id%3D3049403%26ref%3Dbffbbuzzfeednews%26utm_source%3Ddynamic%26utm_campaign%3Dbffbbuzzfeednews%26fbclid%3DIwAR0DLr2YrG8yAiODWBNDjEUal2e0Mh29wBwKV6n3h0HEJonucykAdAGfQqI&h=AT021R0yAhTLGuLzE-970wJNQUDlGzP7hq_F4Kn-OrB3BeNubNk1bLETNv2zQrO5uppV251n4D73QeALbDKrD5fzL99_xjvnaDcls317D62QZlICFbtx8TFe2IQmBNbR_t6FdAPwNcoeS_QIIJAd&__tn__=%2CmH-R&c[0]=AT0ct4w0HUBVJ-4U6wpv2HsbyYLA87UFFVMKO7EcmCOFNG8GdEy5-iZxJzgNW3E1SBXPDvZy-PYx8ZjbLNv45CLu6np8tVaF8Mf1C7swA-ZgCXPuBirgQX8JHnPlJvSIy8iBw06hWhVrRVOdMpypsYuvx-yWWSOHYGfjdWQbmdxzLC0,
18,BuzzFeed News,BuzzFeedNews,This aerospace engineering student says he used old documents and historical imagery to find an airplane crash ,https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.buzzfeednews.com%2Farticle%2Fleylamohammed%2Fjamie-lynn-spears-hit-back-britney-spears-gma-interview%3Fd_id%3D3049380%26ref%3Dbffbbuzzfeednews%26utm_source%3Ddynamic%26utm_campaign%3Dbffbbuzzfeednews%26fbclid%3DIwAR3N6LrAUnzTBbeqhkeM3XIL-biQauxtmdKANzhzTWUiFVGw_131qoSnfJ8&h=AT00y8SadhX1shvxjtSOR5tS619M8WJSWk5Dt6IBogqjlB5aUOoJDb8pz6FRGj3Nqv48FLXlHxYQUZRBeW17ohXYwMco3ogbqm_jJ13WoE6peVqGpqd2OufenGl6Ak0R93uuyKSQF-am_4BMshh5&__tn__=%2CmH-R&c[0]=AT3wrDdKmNW0gyJdbAAsEueZUOHGnkFAlMiJV6zCNVipWlaESyxc3aKAm52X57emJF8ql4D3_pa61m1j6I4v5uuKKk7nnZQhFV_-RwJCEfv6Q2oOsT6L86eB0GdLtAY3e9QD4Hz9_ma_hArxcYFI0ybzphH582AnDnExBsAI6kkKcnM,
19,BuzzFeed News,BuzzFeedNews,"""As part of its plans, Russia is laying the groundwork to have the option of fabricating a pretext for invasion, including through sabotage activities and information operations.""",https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.buzzfeednews.com%2Farticle%2Fpaulmcleod%2F2022-elections-house-elections-overturn%3Fd_id%3D3049278%26ref%3Dbffbbuzzfeednews%26utm_source%3Ddynamic%26utm_campaign%3Dbffbbuzzfeednews%26fbclid%3DIwAR0NRfGsX6Td3JfKN6N2lA8DGU4MbWoJlarWzBxEUGA-y5DdMccitiw0P5w&h=AT2Tcka_jJeWSyUZ1SZLAfMK8KMOG7_AHFcMEwH6Q8UAUwuw8Gf-SR4eS6SFn6XDlK2g2vz2v8AOBtg2iMAfiMXsbNiEJEPER94gU9dTPXyKYQAAG9Yx6SC4uoYaA8wRVuBbMii6Y3R8lNZgKrjN&__tn__=%2CmH-R&c[0]=AT2k4p2Su7gjh0y74kBqMf09KdR5YL65dWQYWd65p1qu7DGBPrYmWrriI4MOE4lv8hpSm0tmlK0-6-HPTZjQyNJk2f_MG_ZL_41Z51ikDFGzdN04jyhmmqJZ_dEHB1maQe09hSKuSm94M-KAhYjAPAlisK9lY2pxTMDA45Aez4P3Pts,
